"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"65",0.5,1,0,2,3,1,1,0,1,0,1,2,1,0,3,0,0,1,0,2,0,0,0,0,2,0,0,0,0,1,2,1,2,1,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,4,0
"66",0,0.5,0,1,1,0,1,0,1,0,0,4,0,1,4,0,3,0,1,5,0,0,0,0,3,1,0,0,0,2,1,0,1,0,0,3,3,2,0,0,1,0,2,0,0,0,1,3,1,0,1,0,1,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,2,0,2,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,3,1,2,0,0,1,0,0,0,0,1,2,3,0
"67",0.5,1,0,4,4,0,0,0,0,1,0,6,0,0,1,0,0,0,0,1,0,0,1,1,3,1,3,0,1,2,1,1,0,1,0,2,1,4,0,0,6,0,1,1,0,1,0,0,5,0,0,0,2,0,1,0,0,2,0,3,2,0,0,0,0,1,0,0,3,0,0,1,2,2,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,5,0
"68",1,1,0,3,3,0,0,0,0,0,0,6,0,0,1,0,2,0,0,6,0,0,0,0,3,0,4,0,3,3,1,1,1,0,0,1,2,4,0,0,4,0,1,1,0,0,1,1,4,1,0,1,4,0,0,0,0,3,0,0,2,0,1,1,0,2,0,0,5,0,2,3,2,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,2,4,0
"69",0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,7,0
"70",0,0,0,2,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,5,0
"71",0,0,0,2,0,2,1,0,1,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0
"72",0,0,0,1,0,1,0,0,0,2,0,3,0,0,1,0,1,0,0,4,0,0,0,1,2,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,1,1,1,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,5,1
"73",1,0.25,1,2,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,2,0,0,0,2,1,0,3,0,0,5,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,2,1,3,0,1,0,1,1,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,1,4,0
"74",0,0,0,3,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,5,0
"75",0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,5,0,1,0,0,2,0,0,1,1,3,2,1,0,0,0,0,0,3,0,0,6,0,0,1,1,0,3,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5,0,1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,3,6,1
"76",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,0
"77",0,0,0,5,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,5,0
"78",0,0.25,1,4,8,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,1,1,3,0,7,0,0,1,1,2,0,0,6,0,0,0,0,0,2,1,5,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,5,2,3,5,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,2
"79",0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"80",1,0.25,0,2,7,1,0,0,1,3,0,4,0,0,3,0,2,0,1,2,0,0,0,0,3,1,0,0,1,0,1,0,2,0,0,0,3,0,0,0,4,0,0,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,2,2,1,1,5,0,0,1,1,0,1,3,0,0,0,1,0,1,1,2,0,2,0,0,1,0,0,1,1,0,0,3,0
"81",0.25,1,1,1,4,0,0,0,1,1,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,3,1,0,1,0,0,0,1,2,0,1,0,2,2,1,0,0,0,0,1,1,0,0,3,1,0,1,0,1,2,0,5,0,0,1,0,0,1,0,0,0,1,2,0,3,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,1,2,0
"82",0.5,0,0,0,4,0,0,1,0,1,0,6,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,3,5,0,0,1,0,2,2,0,0,3,0,1,0,0,0,3,5,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,1,1,0,1,2,4,1,1,0,0,1,0,1,1,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,4,0
"83",0.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,0
"84",0,0.5,0,2,4,0,0,1,0,2,0,5,0,0,2,0,2,0,2,2,0,0,0,0,1,0,2,1,2,1,0,2,2,2,0,0,0,1,0,0,5,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,1,2,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,7,1
"85",0,0,0,1,3,1,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,0
"86",0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,2,0
"87",0,0,2,3,0,0,0,0,0,0,0,2,0,2,4,0,1,1,0,2,1,0,0,0,1,6,1,0,1,7,0,0,5,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,1,0,3,1,0,0,0,2,3,0,0,2,1,1,0,0,0,0,1,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,8,1,0,5,0,0,1,0,0,0,0,0,1,8,0
"88",0,1,4,3,2,0,0,0,0,1,0,4,1,0,4,0,2,0,0,0,1,0,0,1,1,2,0,0,3,0,2,3,3,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,6,0,1,0,0,0,0,0,2,2,0,2,2,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,4,1
"89",0.5,1,6,1,5,0,0,0,1,0,0,6,0,0,5,0,3,0,2,0,0,1,0,0,2,0,0,0,3,1,1,1,5,0,0,3,1,0,0,0,6,0,1,0,0,1,1,1,4,1,1,0,0,1,1,0,0,1,0,8,2,0,0,0,0,1,1,0,3,0,3,0,0,2,0,0,1,0,0,2,0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,2,0,1,8,0
"90",0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,3,0,1,2,0,3,0,0,0,1,2,0,0,4,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,3,1,1,4,4,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,4,6,0
"91",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,6,1
"92",0,0.25,1,1,1,0,0,0,1,1,0,7,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,7,0,3,0,0,1,2,0,0,0,0,4,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,0,0,0,0,0,1,0,3,3,0
"93",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,6,0
"94",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,1
"95",0.25,0,0,0,2,1,1,0,1,0,0,1,0,0,1,0,3,0,0,1,0,0,0,1,7,1,0,0,0,1,3,0,1,1,0,1,2,2,0,0,5,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,2,4,2,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,5,3,0
"96",1,0.25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"97",0,0.25,0,1,3,0,0,0,0,1,0,3,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,1,2,1,0,0,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,3,1
"98",1,0.25,1,2,0,0,0,0,1,2,0,5,0,0,1,0,1,0,1,2,0,0,0,0,1,1,0,0,2,0,2,0,1,0,0,0,2,3,0,0,3,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,9,0,2,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,2,3,0
"99",0.25,0,0,1,1,1,1,0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,2,4,2,0,0,2,0,2,2,0,0,5,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,6,2,2,1,2,0,0,1,1,0,1,0,1,0,0,0,1,0,1,2,0,4,0,0,2,0,0,0,0,0,5,3,0
"100",0.25,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,1,2,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,6,0
"101",0,1,0,3,0,0,0,0,0,3,0,4,0,1,6,0,5,0,0,1,1,0,1,0,1,1,6,0,1,0,2,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,2,2,2,1,0,0,0,0,1,4,0,3,0,0,0,0,1,3,0,0,4,1,3,2,1,1,0,1,1,0,0,2,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,2,5,1
"102",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"103",0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,7,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,2,9,1
"104",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,2,1,1,0,0,2,1,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0
"105",0.5,0.25,0,0,1,1,0,0,0,2,0,6,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,2,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,2,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0
"106",0,0,0,0,0,1,1,0,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,4,5,0,0,0,0,0,1,0,2,0,0,5,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"107",0,0,1,3,0,2,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,3,0,0,0,0,0,0,0,0,0,5,0
"108",0.25,0.25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
"109",0.25,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,7,1
"110",1,0.25,0,0,1,0,0,0,0,0,0,3,0,1,1,0,4,0,2,4,4,0,0,1,0,1,3,0,3,5,2,0,4,0,0,0,1,5,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,2,1,2,3,5,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0
"111",0.25,1,0,2,2,0,2,0,0,0,0,6,0,0,3,1,1,0,0,5,0,0,0,2,4,2,1,1,0,1,3,0,0,1,2,0,2,3,0,0,4,0,1,1,0,0,3,4,2,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,0,0,0,2,4,0
"112",0.5,1,0,2,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,2,0,2,0,1,2,2,0,1,1,2,0,0,2,0,0,5,0,1,0,0,0,0,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,3,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,3,0
"113",0,0,0,2,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,2,0,0,0,0,1,1,2,0,0,0,5,1,1,0,0,1,0,3,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,2,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,7,1
"114",0,0,1,3,1,2,1,0,2,1,0,2,1,1,2,0,2,0,0,1,0,0,0,0,1,1,6,1,2,2,0,1,0,0,1,0,1,2,0,0,2,0,1,0,0,0,2,0,0,1,2,2,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,8,0,4,0,2,1,0,1,0,0,0,7,2,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,1,2,0
"115",0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,5,0
"116",0.5,0.25,0,2,2,0,0,0,0,0,0,4,0,1,2,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,2,0,0,0,2,2,0,0,4,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,3,5,0
"117",1,0,0,1,0,1,0,0,0,1,0,3,0,1,1,0,2,0,0,1,0,1,0,0,2,4,1,0,0,3,1,1,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,2,0,1,1,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0
"118",1,0,0,0,3,0,0,1,1,0,0,7,0,0,2,0,4,0,0,4,0,0,0,1,1,1,4,0,2,3,1,1,1,1,2,1,2,0,0,0,4,2,0,0,0,0,1,3,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,0,2,2,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,4,0
"119",0,1,1,0,5,0,0,1,0,2,0,3,0,0,2,0,0,0,0,1,0,0,0,0,3,3,4,0,1,1,1,1,0,0,0,1,2,1,0,0,9,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,6,0,4,1,0,0,0,1,2,2,0,2,0,1,1,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,1
"120",0.5,0.25,0,0,3,1,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,1,1,1,1,1,2,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,4,0,3,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,1,2,0,0,0,0,1,0,0,0,1,2,2
"121",1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0
"122",0,0,0,2,0,1,0,0,0,2,0,3,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,1
"123",0.25,1,0,2,3,0,0,0,0,2,0,5,1,1,0,0,3,0,1,2,0,0,0,0,3,2,10,1,5,3,2,2,2,0,0,1,0,4,0,0,6,0,0,0,0,0,0,2,6,0,5,1,2,2,0,0,1,3,0,4,1,2,0,0,0,1,1,0,4,1,1,3,3,0,0,1,3,0,0,2,0,1,0,0,0,2,1,4,0,3,0,0,0,0,0,1,1,1,1,2,0
"124",0,0,2,0,1,1,0,1,0,1,0,3,0,0,2,0,4,0,2,1,3,0,0,0,3,0,4,0,1,1,1,1,7,0,0,0,1,3,0,0,6,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,3,0,4,4,3,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,7,0
"125",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1
"126",1,0,0,1,0,1,0,0,0,2,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1
"127",0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0
"128",0,0,0,1,2,0,0,0,0,2,0,3,0,0,2,0,2,0,1,1,2,0,0,0,1,2,0,0,4,3,1,1,1,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,1,4,1,4,5,3,1,0,0,1,1,0,2,1,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,1,7,0
"129",0.25,1,0,1,2,0,0,1,0,2,0,5,0,0,1,0,2,0,0,2,0,0,0,1,1,1,0,0,2,0,2,4,4,0,1,0,0,4,0,0,7,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,4,0,1,1,1,0,0,0,1,2,0,4,4,1,4,3,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,6,0
"130",0,0,0,1,4,0,0,0,0,0,0,4,0,0,3,0,1,1,0,5,3,0,1,0,2,0,0,3,5,4,2,0,3,0,0,2,0,1,1,0,1,0,0,0,0,1,0,1,5,1,1,5,0,0,0,0,1,8,0,5,0,0,0,1,0,2,1,0,11,2,4,1,6,1,0,0,0,0,1,0,2,0,0,0,0,3,0,1,0,1,0,0,2,0,0,0,2,0,2,2,0
